Matrix Index	Metabolite#	MetaboliteID	Reaction#	ReactionID	Stoichiometry
749	193	M_4abut_c	120	R_ABUTt2r	1
750	193	M_4abut_c	1414	R_ABUTt2r_reverse	-1
751	99	M_accoa_c	121	R_ACACT1r	-2
752	99	M_accoa_c	1415	R_ACACT1r_reverse	2
753	29	M_coa_c	121	R_ACACT1r	1
754	29	M_coa_c	1415	R_ACACT1r_reverse	-1
755	187	M_aacoa_c	121	R_ACACT1r	1
756	187	M_aacoa_c	1415	R_ACACT1r_reverse	-1
757	99	M_accoa_c	122	R_ACACT2r	-1
758	99	M_accoa_c	1416	R_ACACT2r_reverse	1
759	196	M_btcoa_c	122	R_ACACT2r	-1
760	196	M_btcoa_c	1416	R_ACACT2r_reverse	1
761	29	M_coa_c	122	R_ACACT2r	1
762	29	M_coa_c	1416	R_ACACT2r_reverse	-1
763	197	M_3ohcoa_c	122	R_ACACT2r	1
764	197	M_3ohcoa_c	1416	R_ACACT2r_reverse	-1
765	99	M_accoa_c	123	R_ACACT3r	-1
766	99	M_accoa_c	1417	R_ACACT3r_reverse	1
767	198	M_hxcoa_c	123	R_ACACT3r	-1
768	198	M_hxcoa_c	1417	R_ACACT3r_reverse	1
769	29	M_coa_c	123	R_ACACT3r	1
770	29	M_coa_c	1417	R_ACACT3r_reverse	-1
771	199	M_3oocoa_c	123	R_ACACT3r	1
772	199	M_3oocoa_c	1417	R_ACACT3r_reverse	-1
773	99	M_accoa_c	124	R_ACACT4r	-1
774	99	M_accoa_c	1418	R_ACACT4r_reverse	1
775	200	M_occoa_c	124	R_ACACT4r	-1
776	200	M_occoa_c	1418	R_ACACT4r_reverse	1
777	29	M_coa_c	124	R_ACACT4r	1
778	29	M_coa_c	1418	R_ACACT4r_reverse	-1
779	201	M_3odcoa_c	124	R_ACACT4r	1
780	201	M_3odcoa_c	1418	R_ACACT4r_reverse	-1
781	99	M_accoa_c	125	R_ACACT5r	-1
782	99	M_accoa_c	1419	R_ACACT5r_reverse	1
783	202	M_dcacoa_c	125	R_ACACT5r	-1
784	202	M_dcacoa_c	1419	R_ACACT5r_reverse	1
785	29	M_coa_c	125	R_ACACT5r	1
786	29	M_coa_c	1419	R_ACACT5r_reverse	-1
787	203	M_3oddcoa_c	125	R_ACACT5r	1
788	203	M_3oddcoa_c	1419	R_ACACT5r_reverse	-1
789	99	M_accoa_c	126	R_ACACT6r	-1
790	99	M_accoa_c	1420	R_ACACT6r_reverse	1
791	204	M_ddcacoa_c	126	R_ACACT6r	-1
792	204	M_ddcacoa_c	1420	R_ACACT6r_reverse	1
793	29	M_coa_c	126	R_ACACT6r	1
794	29	M_coa_c	1420	R_ACACT6r_reverse	-1
795	205	M_3otdcoa_c	126	R_ACACT6r	1
796	205	M_3otdcoa_c	1420	R_ACACT6r_reverse	-1
797	99	M_accoa_c	127	R_ACACT7r	-1
798	99	M_accoa_c	1421	R_ACACT7r_reverse	1
799	206	M_tdcoa_c	127	R_ACACT7r	-1
800	206	M_tdcoa_c	1421	R_ACACT7r_reverse	1
801	29	M_coa_c	127	R_ACACT7r	1
802	29	M_coa_c	1421	R_ACACT7r_reverse	-1
803	207	M_3ohdcoa_c	127	R_ACACT7r	1
804	207	M_3ohdcoa_c	1421	R_ACACT7r_reverse	-1
805	7	M_nad_c	128	R_ACALD	-1
806	7	M_nad_c	1422	R_ACALD_reverse	1
807	29	M_coa_c	128	R_ACALD	-1
808	29	M_coa_c	1422	R_ACALD_reverse	1
809	208	M_acald_c	128	R_ACALD	-1
810	208	M_acald_c	1422	R_ACALD_reverse	1
811	4	M_h_c	128	R_ACALD	1
812	4	M_h_c	1422	R_ACALD_reverse	-1
813	5	M_nadh_c	128	R_ACALD	1
814	5	M_nadh_c	1422	R_ACALD_reverse	-1
815	99	M_accoa_c	128	R_ACALD	1
816	99	M_accoa_c	1422	R_ACALD_reverse	-1
817	209	M_acald_e	129	R_ACALDt	-1
818	209	M_acald_e	1423	R_ACALDt_reverse	1
819	208	M_acald_c	129	R_ACALDt	1
820	208	M_acald_c	1423	R_ACALDt_reverse	-1
821	4	M_h_c	130	R_ACBIPGT	-1
822	210	M_adocbip_c	130	R_ACBIPGT	-1
823	211	M_gtp_c	130	R_ACBIPGT	-1
824	189	M_ppi_c	130	R_ACBIPGT	1
825	212	M_agdpcbi_c	130	R_ACBIPGT	1
826	99	M_accoa_c	131	R_ACCOACL	-1
827	213	M_btn_co2_c	131	R_ACCOACL	-1
828	214	M_apoC_Lys_btn_c	131	R_ACCOACL	1
829	215	M_malcoa_c	131	R_ACCOACL	1
830	99	M_accoa_c	132	R_ACCOAT	-1
831	99	M_accoa_c	1424	R_ACCOAT_reverse	1
832	153	M_4hdxbutn_c	132	R_ACCOAT	-1
833	153	M_4hdxbutn_c	1424	R_ACCOAT_reverse	1
834	93	M_4hbutcoa_c	132	R_ACCOAT	1
835	93	M_4hbutcoa_c	1424	R_ACCOAT_reverse	-1
836	216	M_ac_c	132	R_ACCOAT	1
837	216	M_ac_c	1424	R_ACCOAT_reverse	-1
838	24	M_akg_c	133	R_ACEDIPIT	-1
839	24	M_akg_c	1425	R_ACEDIPIT_reverse	1
840	217	M_n6all26d_c	133	R_ACEDIPIT	-1
841	217	M_n6all26d_c	1425	R_ACEDIPIT_reverse	1
842	22	M_glu_L_c	133	R_ACEDIPIT	1
843	22	M_glu_L_c	1425	R_ACEDIPIT_reverse	-1
844	218	M_acamoxm_c	133	R_ACEDIPIT	1
845	218	M_acamoxm_c	1425	R_ACEDIPIT_reverse	-1
846	219	M_uacgam_c	134	R_ACGAMT	-1
847	220	M_udcpp_c	134	R_ACGAMT	-1
848	221	M_ump_c	134	R_ACGAMT	1
849	222	M_unaga_c	134	R_ACGAMT	1
850	223	M_acgam_e	135	R_ACGApts	-1
851	224	M_pep_c	135	R_ACGApts	-1
